 ;Variables en supervision;;;;;;;;;;;;;;;Tests Variables Supervision J-10;;;;;;Tests Variables Supervision Migration SEMERU;;;;;;Recettes Variables Supervision MOE/Client;;;;;;;Tests Variables IHM;;;;;;Tests Variables Archivage;;;;;;Description Variables en supervision;;;;;;;;;;;;;;;;;;;;;   ;"DOUBLON A VERIFIER
( si ligne 5 > 0 )";;;;Commentaire;;;   ;"Automate 
CONCENTRATEURS";;;;;IHM;;;;"Switch
Terrain";;;"API 
PASSERELLE";;API PROCESS;;;"Equipement
Esclave";;;;;"PASSERELLE 
MOXA";;"API Passerelle 
RTU";;;"Equipement 
Esclave";;;;"AUTOMATE 
M221";;"Module interface de 
précâblage (Wago)";;;CABLAGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ref.;"Mnémonique détaillée
En supervsion";;;;;;;;;;;…;Mnémonique concaténée;NBR(CAR);"Description
 En supervsion";"Test Supervision
OK / NOK / NT";Date du test;"Qui
a
testé";Commentaire;Correction;…;"Test Supervision
OK / NOK / NT";Date du test;"Qui
a
testé";Commentaire;Correction;…;"Test Supervision
OK / NOK / NT";Date du test;"Qui
a
testé";Commentaire;Correction;;…;"Test IHM 
locale";"Date 
du test";"Qui
a
testé";Commentaire;Correction;…;Verification archivage;"Date 
du test";"Qui
a
testé";Commentaire;Correction;…;"TYPE
TA/TS/TM/CP/TR/TC";"TOR
Message état
0 / Repos";"TOR
Message état
1 / Alarme";"TOR
Valeur initiale";Animation synoptique  ;"Couleurs animation à 0 / 
à 1 / 
perte de comunication";…;Unités;Adresse soft de la supervision;"Etendue Echelle
(Min / Max)";Mise à l'échelle;Type de signal;Type de bande morte;Niveau alarme Supervsion;Format d'affichage;Reference / Mnémonique de Alarme Maitre;Tempo alarme en Seconde;1er seuil Alarme Min;2eme seuil Alarme Min;1er seuil Alarme Max;2eme seuil Alarme Max;…;Mnémonique concaténé;"Description
 En supervsion";"Adresse
 de la variable";;Date;Auteur;Commentaire;…;Local;"Nom
 du Switch";Identifiant Concentrateur;"Adresse
 de la variable";...;"CVC
/
CFO";Mnémonique;"Lien
SYNTHESE";..;Local;"Nom
 du Switch";..;"Identifiant
API Passerelle";"Adresse
 de la variable";Local;"Identifiant
API Process";"Adresse
 de la variable";"Port Moxa /
Offset /
Esclave";Local;"Identifiant
Esclave";"Adresse
 de la variable";...;"Identifiant
Passerelle MOXA";"Port Moxa
Offset /
Esclave";Local;"Identifiant
API Passerelle RTU";"Adresse
 de la variable";Local;"Identifiant
Esclave";"Adresse
 de la variable";...;"Identifiant
API M221";"Adresse
 de la variable";"No
Module";"No
Borne";...;Connectique physique du caur ;" Tenant
fil couleur";"Tenant
fil du commun";"Cable 
N° reperage cable";"Cables
type";"Aboutissant

bornier";" Aboutissant
Numéro de bornes";Autocontrôle cablâge;;; ; ;;;;;;;;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;P;BP-BQ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
.;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#REF!;#REF!;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;MN_;DC1;G;TB;_M6;STH___;TTA_____;NV0R608B;BS;TM;P01;;MN_.DC1.G.TB._M6.STH___.TTA_____.NV0R608B.BS.TM.P01;51;MES TEMPERATURE AMBIANTE SONDE STH R608B;OK;08/06/2026;WMA;Déjà en production;;;;;;;;;OK;08/07/2026;WMA/DAL/HERY/JB;;;;;;;;;;;;;;;;;TM;;;;;;;°C;;0 / 50;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39536;;;;;;R608B;SWI-MN-R608B;;;;;;; ; ; ; ;;MOX-MN-R608B;"4
0 / 201";;;;R608B;Sonde RTU;%MW1;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;XBUS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;MN_;DC1;G;TB;_M6;STH___;SHY_____;NV0R608B;HY;TM;P01;;MN_.DC1.G.TB._M6.STH___.SHY_____.NV0R608B.HY.TM.P01;51;MES HYGROMETRIE AMBIANTE SONDE STH R608B;OK;08/06/2026;WMA;Déjà en production;;;;;;;;;OK;08/07/2026;WMA/DAL/HERY/JB;;;;;;;;;;;;;;;;;TM;;;;;;;%;;0 / 100;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39537;;;;;;R608B;SWI-MN-R608B;;;;;;; ; ; ; ;;MOX-MN-R608B;"4
0 / 201";;;;R608B;Sonde RTU;%MW3;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;XBUS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;MN_;DC1;G;TB;_M6;STH___;________;NV0R608B;WD;TA;P01;;MN_.DC1.G.TB._M6.STH___.________.NV0R608B.WD.TA.P01;51;DEF COMMUNICATION SONDE STH R608B;NT;08/06/2026;WMA;Non testable avec ModbusDoctor;;;;;;;;;OK;08/07/2026;WMA/DAL/HERY/JB;;;;;;;;;;;;;;;;;TA;NORMAL;DEFAUT;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW786.0;;;;;;R608B;SWI-MN-R608B;;;;;;; ; ; ; ;;MOX-MN-R608B;"4
0 / 201";;;;R608B;Sonde RTU;;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;XBUS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;MN_;DC1;G;TB;_M6;STH___;TTA_____;NV0R606B;BS;TM;P01;;MN_.DC1.G.TB._M6.STH___.TTA_____.NV0R606B.BS.TM.P01;51;MES TEMPERATURE AMBIANTE SONDE STH R606B;OK;08/06/2026;WMA;Déjà en production;;;;;;;;;OK;08/07/2026;WMA/DAL/HERY/JB;;;;;;;;;;;;;;;;;TM;;;;;;;°C;;0 / 50;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39538;;;;;;R608B;SWI-MN-R608B;;;;;;; ; ; ; ;;MOX-MN-R608B;"4
0 / 202";;;;R608B;Sonde RTU;%MW1;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;XBUS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;MN_;DC1;G;TB;_M6;STH___;SHY_____;NV0R606B;HY;TM;P01;;MN_.DC1.G.TB._M6.STH___.SHY_____.NV0R606B.HY.TM.P01;51;MES HYGROMETRIE AMBIANTE SONDE STH R606B;OK;08/06/2026;WMA;Déjà en production;;;;;;;;;OK;08/07/2026;WMA/DAL/HERY/JB;;;;;;;;;;;;;;;;;TM;;;;;;;%;;0 / 100;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39539;;;;;;R608B;SWI-MN-R608B;;;;;;; ; ; ; ;;MOX-MN-R608B;"4
0 / 202";;;;R608B;Sonde RTU;%MW3;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;XBUS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;MN_;DC1;G;TB;_M6;STH___;________;NV0R606B;WD;TA;P01;;MN_.DC1.G.TB._M6.STH___.________.NV0R606B.WD.TA.P01;51;DEF COMMUNICATION SONDE STH R606B;NT;08/06/2026;WMA;Non testable avec ModbusDoctor;;;;;;;;;OK;08/07/2026;WMA/DAL/HERY/JB;;;;;;;;;;;;;;;;;TA;NORMAL;DEFAUT;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW786.1;;;;;;R608B;SWI-MN-R608B;;;;;;; ; ; ; ;;MOX-MN-R608B;"4
0 / 202";;;;R608B;Sonde RTU;;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;XBUS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;MN_;DC1;G;TB;_M_;STH___;TTA_____;NV0R712_;BS;TM;P01;;MN_.DC1.G.TB._M_.STH___.TTA_____.NV0R712_.BS.TM.P01;51;MES TEMPERATURE AMBIANTE SONDE STH R712;OK;08/06/2026;WMA;Déjà en production;;;;;;;;;OK;08/07/2026;WMA/DAL/HERY/JB;;;;;;;;;;;;;;;;;TM;;;;;;;°C;;0 / 50;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39540;;;;;;R608B;SWI-MN-R608B;;;;;;; ; ; ; ;;MOX-MN-R608B;"4
0 / 203";;;;R712;Sonde RTU;%MW1;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;XBUS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;
