Nom,Zone,Site
R408,Divers,DataCenter BNP Marne Nord
1109B,Divers,DataCenter BNP Marne Nord
R303A,Divers,DataCenter BNP Marne Nord
R306A,Divers,DataCenter BNP Marne Nord
R503A,Divers,DataCenter BNP Marne Nord
R506A,Divers,DataCenter BNP Marne Nord
R704,Divers,DataCenter BNP Marne Nord
R721,Divers,DataCenter BNP Marne Nord
R403A,Divers,DataCenter BNP Marne Nord
R406A,Divers,DataCenter BNP Marne Nord
R603A,Divers,DataCenter BNP Marne Nord
R606A,Divers,DataCenter BNP Marne Nord
R803,Divers,DataCenter BNP Marne Nord
1506,Divers,DataCenter BNP Marne Nord
R108A,Divers,DataCenter BNP Marne Nord
GT IMEX R015,Divers,DataCenter BNP Marne Nord
GT R003,Divers,DataCenter BNP Marne Nord
1108B,Divers,DataCenter BNP Marne Nord
R301,Divers,DataCenter BNP Marne Nord
R301A,Divers,DataCenter BNP Marne Nord
R304B,Divers,DataCenter BNP Marne Nord
R302,Divers,DataCenter BNP Marne Nord
R308,Divers,DataCenter BNP Marne Nord
R305A,Divers,DataCenter BNP Marne Nord
R308B,Divers,DataCenter BNP Marne Nord
R307,Divers,DataCenter BNP Marne Nord
R501,Divers,DataCenter BNP Marne Nord
R501A,Divers,DataCenter BNP Marne Nord
R504B,Divers,DataCenter BNP Marne Nord
R508,Divers,DataCenter BNP Marne Nord
R505A,Divers,DataCenter BNP Marne Nord
R508B,Divers,DataCenter BNP Marne Nord
R703,Divers,DataCenter BNP Marne Nord
S151,Divers,DataCenter BNP Marne Nord
R722,Divers,DataCenter BNP Marne Nord
R405A,Divers,DataCenter BNP Marne Nord
R408B,Divers,DataCenter BNP Marne Nord
R401,Divers,DataCenter BNP Marne Nord
R401A,Divers,DataCenter BNP Marne Nord
R404B,Divers,DataCenter BNP Marne Nord
R608,Divers,DataCenter BNP Marne Nord
R605A,Divers,DataCenter BNP Marne Nord
R608B,Divers,DataCenter BNP Marne Nord
R601,Divers,DataCenter BNP Marne Nord
R601A,Divers,DataCenter BNP Marne Nord
R604B,Divers,DataCenter BNP Marne Nord
R705B,Divers,DataCenter BNP Marne Nord
1901,Divers,DataCenter BNP Marne Nord
R720,Divers,DataCenter BNP Marne Nord
R725,Divers,DataCenter BNP Marne Nord
R726,Divers,DataCenter BNP Marne Nord
1904,Divers,DataCenter BNP Marne Nord
R301B,Divers,DataCenter BNP Marne Nord
MITOYEN,Divers,DataCenter BNP Marne Nord
R701,Divers,DataCenter BNP Marne Nord
R724,Divers,DataCenter BNP Marne Nord
